block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue,blink
1,1,baseline,nan,-1.5848622158518992,nan,nan,nan,nan,nan,1792.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.582859375863336,nan,nan,nan,nan,nan,1791.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.580859580077231,nan,nan,nan,nan,nan,1791.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.5788584005786106,nan,nan,nan,nan,nan,1792.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5768574977992103,nan,nan,nan,nan,nan,1792.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.57485631830059,nan,nan,nan,nan,nan,1792.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5728537550312467,nan,nan,nan,nan,nan,1797.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5708520220359787,nan,nan,nan,nan,nan,1797.0,5.0,nan,nan,nan
1,1,baseline,nan,-1.5688511192565784,nan,nan,nan,nan,nan,1797.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5668488327646628,nan,nan,nan,nan,nan,1798.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5648487602593377,nan,nan,nan,nan,nan,1799.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.5628461969899945,nan,nan,nan,nan,nan,1802.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.5608447407721542,nan,nan,nan,nan,nan,1802.0,3.0,nan,nan,nan
1,1,baseline,nan,-1.558844944986049,nan,nan,nan,nan,nan,1802.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5568440422066487,nan,nan,nan,nan,nan,1802.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5548412022180855,nan,nan,nan,nan,nan,1801.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5528436204767786,nan,nan,nan,nan,nan,1801.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.5508407804300077,nan,nan,nan,nan,nan,1801.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5488384939380921,nan,nan,nan,nan,nan,1801.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5468386982101947,nan,nan,nan,nan,nan,1799.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.544836688437499,nan,nan,nan,nan,nan,1798.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.5428360624355264,nan,nan,nan,nan,nan,1800.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.5408340526628308,nan,nan,nan,nan,nan,1800.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.5388320428901352,nan,nan,nan,nan,nan,1800.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5368300331174396,nan,nan,nan,nan,nan,1800.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5348296838928945,nan,nan,nan,nan,nan,1799.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.532827674120199,nan,nan,nan,nan,nan,1799.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.5308267713407986,nan,nan,nan,nan,nan,1801.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5288253151229583,nan,nan,nan,nan,nan,1801.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.5268221983569674,nan,nan,nan,nan,nan,1802.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.524818804813549,nan,nan,nan,nan,nan,1802.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.5228187323082238,nan,nan,nan,nan,nan,1800.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5208161690970883,nan,nan,nan,nan,nan,1799.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.5188149895402603,nan,nan,nan,nan,nan,1799.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.5168146403157152,nan,nan,nan,nan,nan,1801.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.514813460817095,nan,nan,nan,nan,nan,1800.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.512812281260267,nan,nan,nan,nan,nan,1800.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.5108099947683513,nan,nan,nan,nan,nan,1799.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5088077082764357,nan,nan,nan,nan,nan,1799.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.5068056985037401,nan,nan,nan,nan,nan,1799.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.5048042422276922,nan,nan,nan,nan,nan,1799.0,0.0,nan,nan,nan
