2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64634
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 63163
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64356
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64290
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 60317
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 60424
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 60650
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 61589
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64659
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:00 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 63138
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 59940
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 57441
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 54304
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 57985
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 59923
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 57334
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 53466
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 55457
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 56750
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 59456
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 58488
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 54376
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 54109
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 63282
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65315
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64293
2017-06-19 17:07:01 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
